Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
Q233W8,117,7846620,Ras family protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q54BC3,117,8629399,Ras GTPase,Dictyostelium discoideum (Slime mold),44689,"GDP binding, GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
T1H0W2,117,,Uncharacterized protein,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
X6MKL7,117,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,proteasome assembly,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A078A5X4,118,,Uncharacterized protein,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0D2AYM2,118,27312544,Mitochondrial Rho GTPase,Verruconis gallopava,253628,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0G2E596,118,,Mitochondrial Rho GTPase,Phaeomoniella chlamydospora,158046,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0G4IGR4,118,,Uncharacterized protein,Plasmodiophora brassicae (Clubroot disease),37360,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0T6B5T5,118,,Mitochondrial Rho GTPase,Oryctes borbonicus,1629725,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, mitochondrion transport along microtubule",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A158NU53,118,105624313,Mitochondrial Rho GTPase,Atta cephalotes (Leafcutter ant),12957,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A168RFH4,118,,Uncharacterized protein,Absidia glauca (Pin mould),4829,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4K0R2,118,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2AXA6,118,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2BHH4,118,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R2BWC8,118,,Uncharacterized protein,Stentor coeruleus,5963,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1W2W6L9,118,100179082,Uncharacterized protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A2B4RMS4,118,,Ras-related protein RABB1c,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2J7QTT6,118,,Mitochondrial Rho GTPase,Cryptotermes secundus,105785,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2N1JDG1,118,,Mitochondrial Rho GTPase,Malassezia vespertilionis,2020962,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2R5GJH1,118,,Ras-related protein Rab-21,Hondaea fermentalgiana,2315210,"GTPase activity, GTP binding, N-acetyltransferase activity",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2R6XC96,118,,Uncharacterized protein,Marchantia polymorpha (Liverwort) (Marchantia aquatica),3197,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A383VHQ8,118,,Uncharacterized protein,Tetradesmus obliquus (Green alga) (Acutodesmus obliquus),3088,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A401NNP9,118,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A401NVI4,118,,Mitochondrial Rho GTPase,Scyliorhinus torazame (Cloudy catshark),75743,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, mitochondrion transport along microtubule",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A4Q2DS59,118,,GTPase EF-hand protein of mitochondria 1,Psathyrella aberdarensis,2316362,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A7SI95,118,5507993,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
C8VT82,118,,"Ras guanyl-nucleotide exchange factor RasGEF, putative (AFU_orthologue AFUA_1G04700)",Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),227321,"GTPase activity, GTP binding, guanyl-nucleotide exchange factor activity",Guanine-nucleotide releasing factor,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
G4TWA8,118,,Related to Rho3 GTP binding protein,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
H9JDS5,118,,Uncharacterized protein,Bombyx mori (Silk moth),7091,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
L8HEW7,118,14923942,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
L8HG55,118,14925536,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
M5G5T2,118,,Uncharacterized protein,Dacryopinax primogenitus (strain DJM 731) (Brown rot fungus),1858805,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q7Q3R6,118,1277953,Mitochondrial Rho GTPase,Anopheles gambiae (African malaria mosquito),7165,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, mitochondrion transport along microtubule, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
W2SFV8,118,25345638,Ribonuclease Z,Necator americanus (Human hookworm),51031,"calcium ion binding, GTPase activity, GTP binding, protein transmembrane transporter activity",Hydrolase,"protein import into mitochondrial matrix, tRNA processing","Protein transport, Translocation, Transport","Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
X6MX14,118,,Rab family small GTPase,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
X6P3G1,118,,PH domain-containing protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A058Z7D3,119,20528036,Uncharacterized protein,Fonticula alba (Slime mold),691883,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0C2ICB3,119,,Mitochondrial Rho GTPase 2,Thelohanellus kitauei (Myxosporean),669202,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0D8X869,119,,Ras family protein,Dictyocaulus viviparus (Bovine lungworm),29172,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0L0DCM1,119,25565396,GTP-binding nuclear protein ran/tc4,Thecamonas trahens ATCC 50062,461836,"DNA binding, GTPase activity, GTP binding, metal ion binding, protein heterodimerization activity",nan,"nucleocytoplasmic transport, protein transport","Protein transport, Transport","Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A0A167BYK0,119,30035837,Rab family GTPase YPT7,Sugiyamaella lignohabitans,796027,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A183IKF1,119,,Uncharacterized protein,Soboliphyme baturini,241478,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JS90,119,,Small GTP-binding protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JWI8,119,,Ras-related protein Rab5,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1R0GT39,119,,GTP-binding protein ryh1,Smittium mucronatum,133383,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1Y3BPX5,119,,Ras-like protein,Euroglyphus maynei (Mayne's house dust mite),6958,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A261GVE8,119,,GTPase,Hahella sp. CCB-MM4,1926491,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2G8L5D1,119,,Putative rho-related BTB domain-containing protein 1,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2G8L7S8,119,,Putative circularly permutated Ras protein 1,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding, zinc ion binding",nan,"endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, signal transduction",nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A3M0JAJ9,119,,Uncharacterized protein,Hirundo rustica rustica,333673,"GTPase activity, GTP binding",nan,Rab protein signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A3P6U0K6,119,,Uncharacterized protein,Dibothriocephalus latus (Fish tapeworm) (Diphyllobothrium latum),60516,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A3S4Q767,119,,Pre-rRNA processing protein FTSJ3-like protein,Dinothrombium tinctorium,1965070,"GTPase activity, GTP binding, methyltransferase activity","Methyltransferase, Transferase",RNA methylation,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4P9XHE3,119,,Small GTPase superfamily,Thamnocephalis sphaerospora,78915,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4U0WHD1,119,,Mitochondrial Rho GTPase 1,Cryomyces minteri,331657,"GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A6A4IZH4,119,,Mitochondrial Rho GTPase,Apolygus lucorum (Plant bug) (Lygocoris lucorum),248454,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A6J1SIV1,119,,ras-related protein Rab-27A-like,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),133901,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A8NSC7,119,6012519,Mitochondrial Rho GTPase,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata),240176,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
I2JS25,119,,Putative rho-like gtpase involved in secretory vesicle transport,Brettanomyces bruxellensis AWRI1499,1124627,"GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
L8H5T0,119,14921751,Fbox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
M7BRU3,119,,Ras-related protein Rab-28,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q6NVC5,119,327143,Mitochondrial Rho GTPase 1-A,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"cellular homeostasis, mitochondrial outer membrane permeabilization, mitochondrion organization, mitochondrion transport along microtubule, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
W3WMC1,119,19279166,Mitochondrial Rho GTPase,Pestalotiopsis fici (strain W106-1 / CGMCC3.15140),1229662,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0H2S3F1,120,,Mitochondrial Rho GTPase,Schizopora paradoxa,27342,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0N4UQJ0,120,,Uncharacterized protein,Dracunculus medinensis (Guinea worm),318479,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A165IJ06,120,,Mitochondrial Rho GTPase,Exidia glandulosa HHB12029,1314781,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A1J4KAW3,120,,GTP-binding protein YPT10,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1Q9CRG3,120,,Ras-related protein Rab-6.2,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),2951,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1Q9ET13,120,,Myosin-14,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),2951,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2B4S815,120,,Dexamethasone-induced Ras-related protein 1,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A2B4S889,120,,DnaJ-like subfamily C member 27,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2G8K1M0,120,,Putative circularly permutated Ras protein 1-like isoform X2,Stichopus japonicus (Sea cucumber),307972,"GTPase activity, GTP binding, zinc ion binding",nan,"endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, signal transduction",nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A2G9SPI0,120,,Ras-related protein Rab-12,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A433PND0,120,,Uncharacterized protein,Endogone sp. FLAS-F59071,2340872,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A433UCQ0,120,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A444UU46,120,,Ras-related protein Rab-7L1,Acipenser ruthenus (Sterlet sturgeon),7906,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A482X8H8,120,,Uncharacterized protein,Laodelphax striatellus (Small brown planthopper) (Delphax striatella),195883,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4C1XCW8,120,,Ras-related protein Rab-33B,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4Y9ZLA4,120,,GTPase EF-hand protein of mitochondria 1,Hericium alpestre,135208,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A5K4FAV4,120,,Uncharacterized protein,Schistosoma mansoni (Blood fluke),6183,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5BFL8,120,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5BJ22,120,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A6J1TKV0,120,,GTP-binding protein ypt1-like,Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis),133901,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A6J8E3V2,120,,RAB28,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
F2U9H6,120,16074612,Histidine-rich glycoprotein,Salpingoeca rosetta (strain ATCC 50818 / BSB-021),946362,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
F7A669,120,,Uncharacterized protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q1ZXB9,120,8627831,Ras-related protein RabK3,Dictyostelium discoideum (Slime mold),44689,"GTPase activity, GTP binding",nan,phagosome-lysosome fusion,nan,"Endosome, Lysosome, Vacuole, Other locations",nan,nan,nan,Reference proteome,nan
Q3SDT5,120,5042898,Rab_C83 protein,Paramecium tetraurelia,5888,"GTPase activity, GTP binding",nan,nan,nan,"Endosome, Golgi apparatus",nan,nan,nan,Reference proteome,nan
S4R4S5,120,,Rho related BTB domain containing 1,Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
S4RC37,120,,"RAB27A, member RAS oncogene family",Petromyzon marinus (Sea lamprey),7757,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0R0HNG2,121,,Uncharacterized protein,Glycine max (Soybean) (Glycine hispida),3847,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,"mitochondrion organization, regulation of mitochondrion organization",nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
